pkt_rate,loss_rate,avg_iat_ms,burst_score,label
1.5244,0.4314,338.2469,0.5207,1
4.8196,0.4718,170.1931,0.7898,1
4.5241,0.4891,374.7929,0.4207,1
3.0880,0.5842,295.8071,0.3294,1
2.9260,0.8297,305.6702,0.6221,1
1.4428,0.4762,280.1129,0.7971,1
4.5068,0.8008,385.2885,0.9385,1
4.8120,0.3859,326.0025,0.4979,1
3.2116,0.3985,146.6406,0.7009,1
3.1695,0.4327,303.4723,0.4042,1
4.4077,0.6421,222.3914,0.4924,1
2.4850,0.5524,309.2298,0.8020,1
1.8273,0.8208,485.4268,0.8825,1
1.4016,0.4823,203.1379,0.4167,1
2.6543,0.5749,244.0049,0.7617,1
4.4053,0.7873,213.3373,0.6451,1
1.9936,0.4724,271.3884,0.9110,1
4.5520,0.7387,285.0458,0.6189,1
3.1190,0.6183,279.0958,0.3856,1
1.5027,0.8261,404.8777,0.9196,1
1.6543,0.6272,196.4222,0.4646,1
1.1202,0.4095,319.0449,0.5090,1
3.4325,0.5825,326.0423,0.6457,1
1.7490,0.8443,334.4597,0.7820,1
2.8750,0.4264,342.9776,0.5219,1
1.2004,0.5212,256.4373,0.7048,1
4.0034,0.7468,445.5187,0.9005,1
2.7520,0.6695,296.7950,0.9457,1
2.1236,0.3810,383.1922,0.3839,1
1.6093,0.6661,320.0810,0.8992,1
2.2766,0.7131,399.4211,0.7290,1
3.3988,0.5864,341.7033,0.5228,1
1.7089,0.6890,333.6948,0.3262,1
2.7985,0.7962,272.7642,0.7290,1
2.2099,0.8238,461.4933,0.7800,1
2.6126,0.6309,369.0141,0.6308,1
4.6283,0.5597,294.6646,0.5225,1
2.6326,0.5700,300.2694,0.3596,1
3.6700,0.6778,368.0623,0.3128,1
2.3062,0.4489,254.9330,0.8594,1
1.9867,0.6839,304.6956,0.4788,1
1.5546,0.4918,330.5888,0.8917,1
1.8101,0.6210,110.2842,0.9194,1
3.4402,0.4776,299.5830,0.5083,1
4.9045,0.5498,254.9675,0.3151,1
2.6002,0.7876,388.7523,0.5886,1
4.7437,0.7770,214.0687,0.6540,1
2.9593,0.6661,231.3909,0.4587,1
4.6507,0.8119,213.9937,0.9358,1
3.9800,0.7323,309.8683,0.6124,1
2.8258,0.4701,313.4858,0.4881,1
2.0312,0.6430,286.1683,0.4423,1
4.2642,0.7803,242.0070,0.3049,1
2.3445,0.7488,430.0613,0.3899,1
4.0973,0.4079,279.3637,0.9491,1
1.7704,0.4270,418.7112,0.7028,1
4.7316,0.8404,321.9377,0.3897,1
4.1630,0.4853,309.9356,0.7312,1
1.4474,0.7663,358.7920,0.5753,1
3.2087,0.6004,371.5439,0.7242,1
4.9682,0.8497,293.9629,0.3619,1
3.9114,0.8383,411.7764,0.5998,1
2.6991,0.3757,346.7695,0.5297,1
4.1499,0.7661,228.4860,0.5708,1
2.2862,0.7244,275.5493,0.6193,1
4.5721,0.4220,307.1090,0.3625,1
1.6141,0.6169,211.0236,0.3343,1
1.0021,0.5682,278.7754,0.3226,1
3.6090,0.7616,291.1399,0.3955,1
4.4432,0.7616,276.3234,0.8325,1
1.3710,0.5472,415.9600,0.4673,1
4.0093,0.6021,300.3417,0.6020,1
2.4716,0.4596,251.1146,0.7885,1
1.4756,0.3930,265.4179,0.4140,1
4.2924,0.5493,386.6392,0.3892,1
3.6142,0.5744,309.9552,0.8688,1
4.9024,0.7864,172.4084,0.4435,1
3.6243,0.4945,164.3407,0.6682,1
3.2036,0.7643,462.1568,0.3173,1
1.1978,0.6508,128.2683,0.4691,1
5.5043,0.2243,51.9887,2.2102,2
7.7973,0.1123,162.9610,1.7665,2
9.2094,0.2056,174.8072,1.2019,2
4.7472,0.2557,160.0950,1.5095,2
7.2180,0.1581,195.4131,2.8840,2
9.0002,0.0995,247.8267,1.5519,2
5.6469,0.0992,81.7945,1.5726,2
6.5276,0.0905,134.3682,2.7485,2
6.1516,0.1330,91.6270,1.8433,2
8.0950,0.1904,113.1007,2.7991,2
6.0729,0.0730,64.2095,1.4076,2
3.0004,0.0781,212.8726,2.5577,2
10.0811,0.1710,183.0407,1.2795,2
8.5479,0.1245,108.2844,2.2383,2
8.6324,0.0892,78.2477,2.0976,2
7.6730,0.1414,96.4111,1.4305,2
8.6411,0.0944,225.3534,2.7591,2
5.4974,0.1325,110.7963,1.9767,2
7.6360,0.2632,40.5767,1.9047,2
4.3812,0.1537,223.4236,2.0313,2
8.1039,0.1775,105.4333,1.8223,2
7.4229,0.0718,113.4772,2.5016,2
7.6948,0.0993,115.4063,2.5600,2
7.2690,0.2402,176.4145,2.2753,2
8.6871,0.0621,219.7140,1.9065,2
8.2461,0.1832,141.2845,1.2694,2
10.7401,0.1794,128.0084,2.5382,2
3.1588,0.1642,183.7711,1.2099,2
8.0009,0.1261,138.7221,1.8715,2
9.1484,0.1122,115.8520,2.5948,2
3.2416,0.1734,186.5016,2.9344,2
6.1772,0.0932,86.9057,2.7807,2
3.3312,0.2365,181.4620,2.2159,2
2.5386,0.1897,207.8096,1.8660,2
6.8050,0.0772,184.2514,2.7079,2
8.3079,0.1199,240.9924,1.2431,2
8.2521,0.1566,205.4727,1.4941,2
6.3785,0.1366,54.0414,1.2722,2
9.4349,0.1701,52.6106,1.4513,2
8.9841,0.1292,80.8879,2.9052,2
8.0402,0.2361,242.2722,1.3453,2
8.8158,0.2504,128.2407,1.9722,2
8.3556,0.0583,111.0307,2.9884,2
12.1197,0.0593,99.7243,1.7432,2
7.2817,0.0604,170.9250,2.7075,2
8.2053,0.2420,165.6398,2.1628,2
6.4858,0.1805,126.0321,2.0010,2
9.3326,0.2728,187.4100,1.5409,2
8.2539,0.2718,213.0747,2.7611,2
9.4192,0.2409,185.6017,2.7159,2
4.2895,0.0792,160.0494,2.1822,2
7.8545,0.2568,221.0486,2.4687,2
1.7659,0.1550,130.9442,1.8509,2
7.6884,0.0706,80.2388,2.6038,2
5.6684,0.2641,221.2566,1.2633,2
8.4244,0.0973,242.4275,1.5937,2
7.1350,0.2653,62.4599,1.6254,2
6.8520,0.0853,112.9589,1.5512,2
8.8893,0.2599,175.8461,2.3268,2
8.5264,0.2341,262.6353,2.7554,2
10.0219,0.1300,93.1313,1.6067,2
9.4910,0.2675,141.5412,2.5874,2
7.0812,0.0920,217.0652,2.3757,2
5.6771,0.1500,190.6633,2.4994,2
8.9910,0.2654,88.9056,1.3932,2
4.2291,0.1695,135.4103,1.9860,2
1.5888,0.1618,201.6462,1.9592,2
8.2212,0.1864,219.1288,2.3477,2
8.0801,0.2757,223.4042,2.8142,2
6.3136,0.0639,168.0444,2.3667,2
6.7095,0.1485,133.7185,2.7412,2
7.6815,0.1300,159.6526,2.4093,2
6.0508,0.1353,165.2838,2.6618,2
7.5805,0.2194,65.1858,1.5879,2
3.9648,0.0802,201.8774,2.3283,2
2.9792,0.2558,131.0461,1.3993,2
4.5857,0.0855,233.8219,1.7244,2
8.6266,0.2530,158.1469,2.4747,2
5.8810,0.1323,64.4848,1.4654,2
7.8575,0.1209,138.7523,2.1904,2
5.3566,0.0661,79.2806,2.6080,2
5.1998,0.2375,75.0187,2.6770,2
6.2508,0.1330,158.1659,2.0415,2
8.4974,0.1054,137.6277,1.7649,2
7.7647,0.0801,170.1471,1.7453,2
3.5051,0.1043,151.5660,2.8740,2
10.1241,0.1979,33.6008,2.9979,2
2.0006,0.2546,129.6389,2.6246,2
9.6578,0.0687,130.6286,2.0590,2
8.7346,0.1437,157.0165,2.1939,2
5.1703,0.0750,87.2315,2.6274,2
4.1253,0.2788,223.4003,2.8018,2
9.1798,0.1424,134.2273,2.2913,2
7.0267,0.1293,95.8218,1.7333,2
8.2910,0.0949,100.1612,2.9087,2
6.7691,0.2418,105.4396,1.5455,2
9.0431,0.2368,131.9804,2.8439,2
7.7798,0.2059,76.9242,1.6235,2
6.2304,0.2718,148.9133,1.9739,2
4.3258,0.1082,127.9035,2.5893,2
7.4741,0.2421,70.5686,1.2078,2
9.5576,0.2786,159.0150,1.5744,2
7.1939,0.2363,101.3312,1.9114,2
4.2582,0.1355,191.8521,1.5519,2
6.5889,0.1603,62.4517,2.3561,2
6.0408,0.2761,164.8896,1.9260,2
7.9772,0.1066,81.2823,2.5582,2
9.7654,0.1577,61.8030,1.5337,2
10.2162,0.1166,150.7395,2.8337,2
6.7324,0.1112,126.1194,1.6585,2
7.6572,0.2671,169.2671,1.6044,2
3.9460,0.1418,98.1895,1.4915,2
7.5931,0.2301,204.6529,2.8513,2
9.7641,0.2451,227.4749,1.2910,2
9.6557,0.1203,94.3077,2.5679,2
7.4659,0.2296,199.6483,2.5111,2
9.4476,0.2516,128.7920,2.5406,2
8.5061,0.2224,114.6526,1.4121,2
4.5158,0.1657,133.4457,2.2488,2
7.1427,0.2310,112.1369,1.6441,2
8.5726,0.2059,126.9954,1.5394,2
8.2769,0.2709,181.3488,2.8521,2
12.2739,0.1310,134.3536,2.0531,2
9.8828,0.0716,152.3182,2.7760,2
8.0639,0.2312,135.0874,2.9640,2
7.7702,0.1193,127.4919,1.8063,2
9.4771,0.2015,100.0692,1.2440,2
4.4987,0.2137,110.4204,2.0921,2
6.2210,0.1301,110.3926,1.2556,2
7.2172,0.2674,110.5854,2.5495,2
7.1895,0.2493,110.7467,1.5887,2
8.3204,0.2292,270.6034,1.6153,2
7.9073,0.2705,112.8629,2.3440,2
2.8493,0.1723,244.6599,2.0092,2
8.0196,0.0964,130.9826,2.6612,2
2.9485,0.1831,133.7757,2.9502,2
7.7532,0.2620,110.9366,1.5044,2
4.8232,0.0707,63.1273,1.3283,2
11.3459,0.0670,145.3682,2.6891,2
6.4415,0.2281,142.0638,2.7879,2
7.4383,0.1701,60.6912,2.0053,2
9.3292,0.1576,129.5744,2.6338,2
7.7227,0.0853,221.2567,2.7157,2
4.8764,0.2078,97.3941,1.3399,2
8.1276,0.1208,189.1071,2.4400,2
6.2621,0.1179,108.8899,1.7217,2
8.7576,0.1930,264.7204,2.3224,2
7.6408,0.2095,97.2317,2.4287,2
5.3857,0.1528,132.0644,1.3561,2
9.1843,0.1514,294.5263,1.6267,2
